                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20210126
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20210126

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 50000000.00  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               49995956.00
平仓盈亏 Total P/L：                          0.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                    352500.00  客户权益 Client Equity：：           50348456.00
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      4044.00  保证金占用 Margin Occupied：          6604000.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      50348456.00
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               43744456.00
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    13.12%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                              成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003214245|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     4|  1314400.00|开                |     80.88|        0.00|                 0.00|000003214246|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003214247|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003214248|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003214249|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003214250|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003214251|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     2|   657200.00|开                |     40.44|        0.00|                 0.00|000003216047|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003216048|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003216049|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003216050|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003216051|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003216052|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     3|   985800.00|开                |     60.66|        0.00|                 0.00|000003216053|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.500|     1|   328500.00|开                |     20.22|        0.00|                 0.00|000003218052|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.500|     1|   328500.00|开                |     20.22|        0.00|                 0.00|000003218053|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.500|     1|   328500.00|开                |     20.22|        0.00|                 0.00|000003218054|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003218055|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003218056|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003218057|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     1|   328600.00|开                |     20.22|        0.00|                 0.00|000003218058|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.600|     3|   985800.00|开                |     60.66|        0.00|                 0.00|000003218059|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.500|     1|   328500.00|开                |     20.22|        0.00|                 0.00|000003218533|  普通成交  |
|20210126|能源中心|原油              |     sc2103     |买   | 套保       |   328.500|     1|   328500.00|开                |     20.22|        0.00|                 0.00|000003218534|  普通成交  |
