                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20210325
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20210325

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 75045486.88  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               67119598.00
平仓盈亏 Total P/L：                   -7917800.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                  -1222500.00  客户权益 Client Equity：：           65897098.00
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      8088.88  保证金占用 Margin Occupied：         27090000.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      65897098.00
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               38807098.00
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    41.11%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                              成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20210325|能源中心|原油              |     sc2104     |   卖| 套保       |   374.300|   200| 74860000.00|平昨              |   4044.49| -7917800.00|                 0.00|000000003166|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     9|  3451500.00|开                |    182.01|        0.00|                 0.00|000000833830|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.600|     1|   383600.00|开                |     20.22|        0.00|                 0.00|000000833888|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.600|     1|   383600.00|开                |     20.22|        0.00|                 0.00|000000833889|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.600|     1|   383600.00|开                |     20.22|        0.00|                 0.00|000000833890|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.600|     1|   383600.00|开                |     20.22|        0.00|                 0.00|000000833891|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.600|     1|   383600.00|开                |     20.22|        0.00|                 0.00|000000833892|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.600|     1|   383600.00|开                |     20.22|        0.00|                 0.00|000000833893|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.600|     1|   383600.00|开                |     20.22|        0.00|                 0.00|000000833894|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.600|     1|   383600.00|开                |     20.22|        0.00|                 0.00|000000833895|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.600|     1|   383600.00|开                |     20.22|        0.00|                 0.00|000000833896|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.600|     1|   383600.00|开                |     20.22|        0.00|                 0.00|000000833897|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000833932|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     2|   767000.00|开                |     40.45|        0.00|                 0.00|000000837863|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000837864|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000837865|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000837866|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000837867|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000837868|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000837869|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000837870|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000837899|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000839458|  普通成交  |
|20210325|能源中心|原油              |     sc2105     |买   | 套保       |   383.500|     1|   383500.00|开                |     20.22|        0.00|                 0.00|000000839459|  普通成交  |
