                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20210430
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20210430

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 60971458.49  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               83579631.18
平仓盈亏 Total P/L：                   22628400.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                     28000.00  客户权益 Client Equity：：           83607631.18
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                     20227.31  保证金占用 Margin Occupied：          2013120.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      83607631.18
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               81594511.18
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                     2.41%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                              成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     9|  3780000.00|平昨              |    182.03|   207900.00|                 0.00|000002579237|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    23100.00|                 0.00|000002579238|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    23100.00|                 0.00|000002581212|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    23100.00|                 0.00|000002581213|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    23100.00|                 0.00|000002581214|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    23100.00|                 0.00|000002581215|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    23100.00|                 0.00|000002581216|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    23100.00|                 0.00|000002581217|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     4|  1680000.00|平昨              |     80.90|    92400.00|                 0.00|000002581270|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     3|  1260000.00|平昨              |     60.68|    68500.00|                 0.00|000002584640|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    22700.00|                 0.00|000002584795|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    22700.00|                 0.00|000002584796|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    22700.00|                 0.00|000002584797|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    22700.00|                 0.00|000002585196|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     1|   420000.00|平昨              |     20.23|    22700.00|                 0.00|000002585982|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     2|   840000.00|平昨              |     40.45|    45400.00|                 0.00|000002586142|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     2|   840000.00|平昨              |     40.45|    45400.00|                 0.00|000002593242|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.000|     8|  3360000.00|平昨              |    161.80|   181600.00|                 0.00|000002593290|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.300|     1|   420300.00|平昨              |     20.23|    23000.00|                 0.00|000002614306|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.200|     1|   420200.00|平昨              |     20.23|    22900.00|                 0.00|000002614356|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.200|     1|   420200.00|平昨              |     20.23|    22900.00|                 0.00|000002614431|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.200|     1|   420200.00|平昨              |     20.23|    22900.00|                 0.00|000002614483|  普通成交  |
|20210430|能源中心|原油              |     sc2106     |   卖| 套保       |   420.200|     1|   420200.00|平昨              |     20.23|    22900.00|                 0.00|000002614493|  普通成交  |
