                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20210512
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20210512

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 83559403.79  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               83551312.82
平仓盈亏 Total P/L：                          0.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                   9674400.00  客户权益 Client Equity：：           93225712.82
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      8090.97  保证金占用 Margin Occupied：         43742400.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      93225712.82
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               49483312.82
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    46.92%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                              成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.400|     1|   422400.00|开                |     20.23|        0.00|                 0.00|000002332806|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.400|     1|   422400.00|开                |     20.23|        0.00|                 0.00|000002332807|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.400|     1|   422400.00|开                |     20.23|        0.00|                 0.00|000002332808|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.400|     1|   422400.00|开                |     20.23|        0.00|                 0.00|000002332809|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.400|     1|   422400.00|开                |     20.23|        0.00|                 0.00|000002332810|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.400|     1|   422400.00|开                |     20.23|        0.00|                 0.00|000002332811|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.400|     1|   422400.00|开                |     20.23|        0.00|                 0.00|000002332812|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.400|     1|   422400.00|开                |     20.23|        0.00|                 0.00|000002332813|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.400|     1|   422400.00|开                |     20.23|        0.00|                 0.00|000002332822|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.400|     1|   422400.00|开                |     20.23|        0.00|                 0.00|000002332875|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.100|     1|   422100.00|开                |     20.23|        0.00|                 0.00|000002383905|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.100|     1|   422100.00|开                |     20.23|        0.00|                 0.00|000002383906|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.100|     1|   422100.00|开                |     20.23|        0.00|                 0.00|000002383907|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.100|     1|   422100.00|开                |     20.23|        0.00|                 0.00|000002383908|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.100|     1|   422100.00|开                |     20.23|        0.00|                 0.00|000002383909|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.100|     2|   844200.00|开                |     40.45|        0.00|                 0.00|000002383911|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.100|     2|   844200.00|开                |     40.45|        0.00|                 0.00|000002384242|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.100|     1|   422100.00|开                |     20.23|        0.00|                 0.00|000002384593|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.200|     1|   422200.00|开                |     20.23|        0.00|                 0.00|000002384735|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.200|     1|   422200.00|开                |     20.23|        0.00|                 0.00|000002384736|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.200|     2|   844400.00|开                |     40.45|        0.00|                 0.00|000002384737|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.200|     1|   422200.00|开                |     20.23|        0.00|                 0.00|000002384738|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.200|     1|   422200.00|开                |     20.23|        0.00|                 0.00|000002384739|  普通成交  |
|20210512|能源中心|原油              |     sc2106     |买   |一般        |   422.200|     1|   422200.00|开                |     20.23|        0.00|                 0.00|000002384740|  普通成交  |
