                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20210518
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20210518

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 91224546.04  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               91200273.21
平仓盈亏 Total P/L：                          0.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                  13966100.00  客户权益 Client Equity：：          105166373.21
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                     24272.83  保证金占用 Margin Occupied：         54520200.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：     105166373.21
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               50646173.21
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    51.84%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                              成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.600|     1|   434600.00|开                |     20.23|        0.00|                 0.00|000002140856|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.600|     1|   434600.00|开                |     20.23|        0.00|                 0.00|000002140857|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.600|     2|   869200.00|开                |     40.45|        0.00|                 0.00|000002140858|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.600|     1|   434600.00|开                |     20.23|        0.00|                 0.00|000002140859|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.600|     1|   434600.00|开                |     20.23|        0.00|                 0.00|000002140860|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.600|     1|   434600.00|开                |     20.23|        0.00|                 0.00|000002140861|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.600|     1|   434600.00|开                |     20.23|        0.00|                 0.00|000002140862|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.600|     1|   434600.00|开                |     20.23|        0.00|                 0.00|000002140863|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.600|     1|   434600.00|开                |     20.23|        0.00|                 0.00|000002140864|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.800|     1|   434800.00|开                |     20.23|        0.00|                 0.00|000002145233|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.700|     3|  1304100.00|开                |     60.68|        0.00|                 0.00|000002145234|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.700|     3|  1304100.00|开                |     60.68|        0.00|                 0.00|000002145235|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.700|     1|   434700.00|开                |     20.23|        0.00|                 0.00|000002145236|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.700|     1|   434700.00|开                |     20.23|        0.00|                 0.00|000002145237|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.700|     1|   434700.00|开                |     20.23|        0.00|                 0.00|000002145238|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.800|     2|   869600.00|开                |     40.45|        0.00|                 0.00|000002146353|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.800|     1|   434800.00|开                |     20.23|        0.00|                 0.00|000002146354|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.800|     1|   434800.00|开                |     20.23|        0.00|                 0.00|000002146355|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.800|     1|   434800.00|开                |     20.23|        0.00|                 0.00|000002146356|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.800|     4|  1739200.00|开                |     80.90|        0.00|                 0.00|000002146357|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.800|     1|   434800.00|开                |     20.23|        0.00|                 0.00|000002146358|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.900|     1|   434900.00|开                |     20.23|        0.00|                 0.00|000002149398|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.900|     6|  2609400.00|开                |    121.36|        0.00|                 0.00|000002149399|  普通成交  |
|20210518|能源中心|原油              |     sc2107     |   卖| 套保       |   434.900|     1|   434900.00|开                |     20.23|        0.00|                 0.00|000002149400|  普通成交  |
