                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20210519
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20210519

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 91200273.21  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               99910154.94
平仓盈亏 Total P/L：                    8743700.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                  12973200.00  客户权益 Client Equity：：          112883354.94
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                     33818.27  保证金占用 Margin Occupied：         49590000.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：     112883354.94
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               63293354.94
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    43.93%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                              成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20210519|能源中心|原油              |     sc2106     |   卖|一般        |   429.800|   500|214900000.00|平昨              |  10112.89|  3340200.00|                 0.00|000000545645|  TAS成交   |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.400|     3|  1294200.00|平昨              |     60.68|    23400.00|                 0.00|000002393615|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.400|     1|   431400.00|平昨              |     20.23|     7800.00|                 0.00|000002393904|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.400|     3|  1294200.00|平昨              |     60.68|    23400.00|                 0.00|000002439367|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.400|     1|   431400.00|平昨              |     20.23|     7800.00|                 0.00|000002455913|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.400|     2|   862800.00|平昨              |     40.45|    15600.00|                 0.00|000002456065|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.500|     1|   431500.00|平昨              |     20.23|     9100.00|                 0.00|000002487525|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.500|     1|   431500.00|平昨              |     20.23|     9100.00|                 0.00|000002489235|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.500|     1|   431500.00|平昨              |     20.23|     9100.00|                 0.00|000002489540|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.500|     1|   431500.00|平昨              |     20.23|     9100.00|                 0.00|000002489607|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.500|     1|   431500.00|平昨              |     20.23|     9100.00|                 0.00|000002489874|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.500|     1|   431500.00|平昨              |     20.23|     9100.00|                 0.00|000002490079|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.500|     1|   431500.00|平昨              |     20.23|     9100.00|                 0.00|000002490083|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.500|     1|   431500.00|平昨              |     20.23|     9100.00|                 0.00|000002490104|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.500|     1|   431500.00|平昨              |     20.23|     9100.00|                 0.00|000002493941|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.500|     1|   431500.00|平昨              |     20.23|     9100.00|                 0.00|000002493966|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.900|     1|   431900.00|平昨              |     20.23|     9500.00|                 0.00|000002506137|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.900|     5|  2159500.00|平昨              |    101.13|    47300.00|                 0.00|000002506138|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.900|     1|   431900.00|平昨              |     20.23|     9400.00|                 0.00|000002507974|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.900|     3|  1295700.00|平昨              |     60.68|    28200.00|                 0.00|000002509465|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.600|     1|   431600.00|平昨              |     20.23|     9300.00|                 0.00|000002542929|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.600|     3|  1294800.00|平昨              |     60.68|    27900.00|                 0.00|000002548784|  普通成交  |
|20210519|能源中心|原油              |     sc2106     |   卖| 套保       |   431.600|     1|   431600.00|平昨              |     20.23|     9300.00|                 0.00|000002549014|  普通成交  |
