                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20210707
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20210707

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 95117295.87  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               95084930.11
平仓盈亏 Total P/L：                          0.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                   9402600.00  客户权益 Client Equity：：          104487530.11
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                     32365.76  保证金占用 Margin Occupied：         65547300.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：     104487530.11
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               38940230.11
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    62.73%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                              成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.100|     1|   468100.00|开                |     20.23|        0.00|                 0.00|000000094223|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.100|     1|   468100.00|开                |     20.23|        0.00|                 0.00|000000094224|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.100|     1|   468100.00|开                |     20.23|        0.00|                 0.00|000000094225|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.100|     1|   468100.00|开                |     20.23|        0.00|                 0.00|000000094226|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.100|     1|   468100.00|开                |     20.23|        0.00|                 0.00|000000094247|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.100|     1|   468100.00|开                |     20.23|        0.00|                 0.00|000000094371|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.100|     1|   468100.00|开                |     20.23|        0.00|                 0.00|000000094405|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.100|     1|   468100.00|开                |     20.23|        0.00|                 0.00|000000094415|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.100|     2|   936200.00|开                |     40.46|        0.00|                 0.00|000000094434|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.000|     2|   936000.00|开                |     40.46|        0.00|                 0.00|000000100256|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.000|     1|   468000.00|开                |     20.23|        0.00|                 0.00|000000100257|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.000|     1|   468000.00|开                |     20.23|        0.00|                 0.00|000000100258|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.000|     1|   468000.00|开                |     20.23|        0.00|                 0.00|000000100259|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   468.000|     5|  2340000.00|开                |    101.14|        0.00|                 0.00|000000100927|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   467.700|     1|   467700.00|开                |     20.23|        0.00|                 0.00|000000114737|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   467.700|     9|  4209300.00|开                |    182.05|        0.00|                 0.00|000000114738|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   467.800|     7|  3274600.00|开                |    141.60|        0.00|                 0.00|000000143616|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   467.800|     1|   467800.00|开                |     20.23|        0.00|                 0.00|000000143617|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   467.800|     2|   935600.00|开                |     40.46|        0.00|                 0.00|000000143623|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   467.100|     1|   467100.00|开                |     20.23|        0.00|                 0.00|000000161320|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   467.100|     1|   467100.00|开                |     20.23|        0.00|                 0.00|000000161321|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   467.200|     1|   467200.00|开                |     20.23|        0.00|                 0.00|000000161322|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   467.200|     1|   467200.00|开                |     20.23|        0.00|                 0.00|000000161323|  普通成交  |
|20210707|能源中心|原油              |     sc2108     |买   |一般        |   467.200|     1|   467200.00|开                |     20.23|        0.00|                 0.00|000000161324|  普通成交  |
