                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20210805
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20210805

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                140581439.36  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：              140569302.80
平仓盈亏 Total P/L：                          0.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                  16047700.00  客户权益 Client Equity：：          156617002.80
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                     12136.56  保证金占用 Margin Occupied：         31287800.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：     156617002.80
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：              125329202.80
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    19.98%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                                          成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.700|     1|   428700.00|开                |     20.23|        0.00|                 0.00|000002159868|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.700|     1|   428700.00|开                |     20.23|        0.00|                 0.00|000002159869|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.700|     1|   428700.00|开                |     20.23|        0.00|                 0.00|000002159870|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.700|     7|  3000900.00|开                |    141.58|        0.00|                 0.00|000002159871|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.700|     1|   428700.00|开                |     20.23|        0.00|                 0.00|000002159958|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     2|   857600.00|开                |     40.45|        0.00|                 0.00|000002159961|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     1|   428800.00|开                |     20.23|        0.00|                 0.00|000002159962|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     1|   428800.00|开                |     20.23|        0.00|                 0.00|000002159963|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     6|  2572800.00|开                |    121.35|        0.00|                 0.00|000002159964|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     1|   428800.00|开                |     20.23|        0.00|                 0.00|000002159966|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     1|   428800.00|开                |     20.23|        0.00|                 0.00|000002159967|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     3|  1286400.00|开                |     60.68|        0.00|                 0.00|000002159968|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     1|   428800.00|开                |     20.23|        0.00|                 0.00|000002159969|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     1|   428800.00|开                |     20.23|        0.00|                 0.00|000002159970|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     1|   428800.00|开                |     20.23|        0.00|                 0.00|000002159971|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     1|   428800.00|开                |     20.23|        0.00|                 0.00|000002159972|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     1|   428800.00|开                |     20.23|        0.00|                 0.00|000002160901|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     1|   428800.00|开                |     20.23|        0.00|                 0.00|000002161132|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     2|   857600.00|开                |     40.45|        0.00|                 0.00|000002161134|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     2|   857600.00|开                |     40.45|        0.00|                 0.00|000002161135|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.800|     5|  2144000.00|开                |    101.13|        0.00|                 0.00|000002161152|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.700|     1|   428700.00|开                |     20.23|        0.00|                 0.00|000002161191|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.700|     1|   428700.00|开                |     20.23|        0.00|                 0.00|000002161199|  普通成交  |
|20210805|能源中心|原油              |     sc2109     |买   | 套保       |   428.700|     1|   428700.00|开                |     20.23|        0.00|                 0.00|000002161207|  普通成交  |
