                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20211104
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20211104

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                174904503.87  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：              174884273.48
平仓盈亏 Total P/L：                          0.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                  -2990800.00  客户权益 Client Equity：：          171893473.48
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                     20230.39  保证金占用 Margin Occupied：         71904000.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：     171893473.48
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               99989473.48
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    41.83%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                                          成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001094176|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001094177|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.700|     1|   517700.00|开                |     20.23|        0.00|                 0.00|000001094178|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.700|     1|   517700.00|开                |     20.23|        0.00|                 0.00|000001094179|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.700|     3|  1553100.00|开                |     60.69|        0.00|                 0.00|000001094180|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.700|     3|  1553100.00|开                |     60.69|        0.00|                 0.00|000001094181|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     3|  1552800.00|开                |     60.69|        0.00|                 0.00|000001095194|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     5|  2588000.00|开                |    101.16|        0.00|                 0.00|000001095195|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001095196|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001095197|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     2|  1035200.00|开                |     40.46|        0.00|                 0.00|000001095663|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001095664|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     4|  2070400.00|开                |     80.92|        0.00|                 0.00|000001095665|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     2|  1035200.00|开                |     40.46|        0.00|                 0.00|000001095666|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001095667|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.500|     1|   517500.00|开                |     20.23|        0.00|                 0.00|000001096007|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001096008|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001096009|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001096010|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001096011|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001096012|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     1|   517600.00|开                |     20.23|        0.00|                 0.00|000001096013|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.600|     3|  1552800.00|开                |     60.69|        0.00|                 0.00|000001096014|  普通成交  |
|20211104|能源中心|原油              |     sc2112     |买   | 套保       |   517.500|     1|   517500.00|开                |     20.23|        0.00|                 0.00|000001096317|  普通成交  |
