                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20211118
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20211118

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                184755042.96  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：              184744927.96
平仓盈亏 Total P/L：                          0.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                  -8949600.00  客户权益 Client Equity：：          175795327.96
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                     10115.00  保证金占用 Margin Occupied：         65715000.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：     175795327.96
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：              110080327.96
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    37.38%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                                          成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   507.900|     2|  1015800.00|开                |     40.46|        0.00|                 0.00|000001528860|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   507.900|     1|   507900.00|开                |     20.23|        0.00|                 0.00|000001528862|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   507.900|     1|   507900.00|开                |     20.23|        0.00|                 0.00|000001528863|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   507.900|     1|   507900.00|开                |     20.23|        0.00|                 0.00|000001528864|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   507.900|     1|   507900.00|开                |     20.23|        0.00|                 0.00|000001528866|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   507.900|     1|   507900.00|开                |     20.23|        0.00|                 0.00|000001528869|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   507.900|     2|  1015800.00|开                |     40.46|        0.00|                 0.00|000001528875|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   507.900|     1|   507900.00|开                |     20.23|        0.00|                 0.00|000001528876|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.000|     1|   508000.00|开                |     20.23|        0.00|                 0.00|000001529050|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     1|   508100.00|开                |     20.23|        0.00|                 0.00|000001529052|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     1|   508100.00|开                |     20.23|        0.00|                 0.00|000001529053|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     2|  1016200.00|开                |     40.46|        0.00|                 0.00|000001529118|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     2|  1016200.00|开                |     40.46|        0.00|                 0.00|000001529119|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     1|   508100.00|开                |     20.23|        0.00|                 0.00|000001529120|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     2|  1016200.00|开                |     40.46|        0.00|                 0.00|000001529123|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     1|   508100.00|开                |     20.23|        0.00|                 0.00|000001529150|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     1|   508100.00|开                |     20.23|        0.00|                 0.00|000001529151|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     4|  2032400.00|开                |     80.92|        0.00|                 0.00|000001529152|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     2|  1016200.00|开                |     40.46|        0.00|                 0.00|000001529155|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.100|     2|  1016200.00|开                |     40.46|        0.00|                 0.00|000001529156|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.300|     1|   508300.00|开                |     20.23|        0.00|                 0.00|000001529354|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.300|     1|   508300.00|开                |     20.23|        0.00|                 0.00|000001529368|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.300|     1|   508300.00|开                |     20.23|        0.00|                 0.00|000001529370|  普通成交  |
|20211118|能源中心|原油              |     sc2201     |买   | 套保       |   508.300|     1|   508300.00|开                |     20.23|        0.00|                 0.00|000001529374|  普通成交  |
