                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20220121
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20220121

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 64115854.13  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               64111808.00
平仓盈亏 Total P/L：                          0.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                   -232000.00  客户权益 Client Equity：：           63879808.00
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      4046.13  保证金占用 Margin Occupied：          5400000.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      63879808.00
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               58479808.00
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                     8.45%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                                          成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.200|     4|  2144800.00|开                |     80.93|        0.00|                 0.00|000003914160|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.200|     1|   536200.00|开                |     20.23|        0.00|                 0.00|000003914395|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.100|     4|  2144400.00|开                |     80.93|        0.00|                 0.00|000003914749|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.100|     1|   536100.00|开                |     20.23|        0.00|                 0.00|000003914802|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.000|     1|   536000.00|开                |     20.23|        0.00|                 0.00|000003915469|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.000|     4|  2144000.00|开                |     80.93|        0.00|                 0.00|000003915470|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.000|     5|  2680000.00|开                |    101.16|        0.00|                 0.00|000003915812|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.100|     1|   536100.00|开                |     20.23|        0.00|                 0.00|000003916312|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.000|     4|  2144000.00|开                |     80.93|        0.00|                 0.00|000003916313|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.100|     3|  1608300.00|开                |     60.70|        0.00|                 0.00|000003917024|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   536.100|     2|  1072200.00|开                |     40.46|        0.00|                 0.00|000003917025|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.800|     1|   535800.00|开                |     20.23|        0.00|                 0.00|000003921130|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.800|     1|   535800.00|开                |     20.23|        0.00|                 0.00|000003921131|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.800|     1|   535800.00|开                |     20.23|        0.00|                 0.00|000003921132|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.800|     1|   535800.00|开                |     20.23|        0.00|                 0.00|000003921133|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.800|     1|   535800.00|开                |     20.23|        0.00|                 0.00|000003921134|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.800|     2|  1071600.00|开                |     40.46|        0.00|                 0.00|000003921648|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.800|     1|   535800.00|开                |     20.23|        0.00|                 0.00|000003921854|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.800|     1|   535800.00|开                |     20.23|        0.00|                 0.00|000003922605|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.700|     5|  2678500.00|开                |    101.16|        0.00|                 0.00|000003923405|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.800|     1|   535800.00|开                |     20.23|        0.00|                 0.00|000003924970|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.500|     1|   535500.00|开                |     20.23|        0.00|                 0.00|000003946805|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.500|     1|   535500.00|开                |     20.23|        0.00|                 0.00|000003946806|  普通成交  |
|20220121|能源中心|原油              |     sc2203     |   卖|一般        |   535.500|     1|   535500.00|开                |     20.23|        0.00|                 0.00|000003947017|  普通成交  |
