                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20220323
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20220323

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                193364853.25  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：              190127517.98
平仓盈亏 Total P/L：                   -3234400.00  质 押 金 Pledge Amount：            289160000.00
浮动盈亏 Accum. P/L：                         0.00  客户权益 Client Equity：：          479287517.98
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      2935.27  保证金占用 Margin Occupied：        149231250.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：     479287517.98
质押变化金额 Chg in Pledge Amt：       -5280000.00  可用资金 Fund Avail.：              330056267.98
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    31.14%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                      质押明细 Warrant Pledge  
----------------------------------------------------------------------
| 交易日期 |质押品种代码|  质押品种名称  | 质押数量 |    质押金额    |
|Trans.Date|    Code    |      Name      |   Qty    |     Amount     |
----------------------------------------------------------------------
|20220323  |sc          |原油              |       500|    289160000.00|
----------------------------------------------------------------------

                                                                          成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20220323|能源中心|原油              |     sc2204     |买   | 套保       |   720.700|     1|   720700.00|平昨              |     20.24|   -19300.00|                 0.00|000002047633|  普通成交  |
|20220323|能源中心|原油              |     sc2204     |买   | 套保       |   720.900|     1|   720900.00|平昨              |     20.24|   -19500.00|                 0.00|000002047634|  普通成交  |
|20220323|能源中心|原油              |     sc2204     |买   | 套保       |   722.000|     3|  2166000.00|平昨              |     60.73|   -61800.00|                 0.00|000002138784|  普通成交  |
|20220323|能源中心|原油              |     sc2204     |买   | 套保       |   721.600|   140|101024000.00|平昨              |   2834.06| -3133800.00|                 0.00|000002145200|  普通成交  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|共   4条|        |                  |                      |            |          |   145|104631600.00|                  |   2935.27| -3234400.00|                 0.00|            |            |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
能源中心---INE  上期所---SHFE   中金所---CFFEX  大商所---DCE   郑商所---CZCE
买---Buy   卖---Sell
投机---Speculation  套保---Hedge  套利---Arbitrage  一般---General  交易---Trade  做市商---Market Maker
开---Open 平---Close 平今---Close Today 强平---Forced Liquidation 平昨---Close Prev. 强减---Forced Reduction 本地强平---Local Forced Liquidation 

                                                                         平仓明细 Position Closed 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 平仓日期 | 交易所 |       品种       |      合约      |开仓日期 |买/卖|   手数   |     开仓价    |     昨结算     |   成交价   |  平仓盈亏  |     权利金收支      |  成交类型  |
|Close Date|Exchange|      Product     |   Instrument   |Open Date| B/S |   Lots   |Pos. Open Price|   Prev. Sttl   |Trans. Price| Total  P/L |Premium Received/Paid| trade type |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        701.400|         736.100|     720.700|   -19300.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        701.400|         736.100|     720.900|   -19500.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         3|        701.400|         736.100|     722.000|   -61800.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         2|        698.600|         736.100|     721.600|   -46000.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         4|        699.500|         736.100|     721.600|   -88400.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        700.300|         736.100|     721.600|   -21300.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         2|        698.800|         736.100|     721.600|   -45600.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        700.300|         736.100|     721.600|   -21300.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        698.700|         736.100|     721.600|   -22900.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        701.700|         736.100|     721.600|   -19900.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        698.800|         736.100|     721.600|   -22800.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         5|        698.700|         736.100|     721.600|  -114500.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         3|        699.600|         736.100|     721.600|   -66000.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        699.100|         736.100|     721.600|   -22500.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         3|        699.200|         736.100|     721.600|   -67200.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         2|        698.600|         736.100|     721.600|   -46000.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         2|        698.600|         736.100|     721.600|   -46000.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        699.200|         736.100|     721.600|   -22400.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         3|        698.600|         736.100|     721.600|   -69000.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        698.600|         736.100|     721.600|   -23000.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         2|        699.100|         736.100|     721.600|   -45000.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         2|        701.700|         736.100|     721.600|   -39800.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        699.300|         736.100|     721.600|   -22300.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        699.100|         736.100|     721.600|   -22500.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        698.700|         736.100|     721.600|   -22900.00|                 0.000|  普通成交  |
|20220323  |能源中心|原油              |sc2204          |20220304 |买   |         1|        698.700|         736.100|     721.600|   -22900.00|                 0.000|  普通成交  |
